payment_id,customer_id,subscription_id,amount,failure_reason_code,raw_bank_message,attempt_number,failed_at
pay_00001,cust_1001,sub_1,1519.14,insufficient_funds,,1,2026-07-23 04:47:06
pay_00002,cust_1001,sub_1,1519.14,insufficient_funds,,2,2026-07-26 23:57:34
pay_00011,cust_1010,sub_10,3567.74,mandate_revoked,,1,2026-05-25 20:04:38
pay_00133,cust_1100,sub_100,4388.05,card_expired,,1,2026-06-08 09:30:30
pay_00134,cust_1100,sub_100,4388.05,card_expired,,2,2026-06-10 10:11:03
pay_00135,cust_1101,sub_101,746.62,fraud_suspected,,1,2026-08-12 12:31:04
pay_00136,cust_1102,sub_102,927.29,mandate_revoked,,1,2026-06-09 09:05:15
pay_00137,cust_1103,sub_103,3109.32,fraud_suspected,,1,2026-06-02 07:49:33
pay_00138,cust_1104,sub_104,1626.3,ambiguous_bank_error,"NPCI/HDFC: mandate execution failed, reason unspecified, retry advised after 24h.",1,2026-06-06 13:19:36
pay_00139,cust_1105,sub_105,4747.43,mandate_revoked,,1,2026-07-25 20:13:16
pay_00140,cust_1106,sub_106,1033.31,insufficient_funds,,1,2026-08-11 05:00:26
pay_00141,cust_1106,sub_106,1033.31,insufficient_funds,,2,2026-08-13 22:38:30
pay_00142,cust_1107,sub_107,3592.39,insufficient_funds,,1,2026-06-23 02:43:14
pay_00143,cust_1108,sub_108,3199.28,fraud_suspected,,1,2026-05-28 06:27:07
pay_00144,cust_1109,sub_109,4559.37,issuer_timeout,,1,2026-08-02 02:03:10
pay_00012,cust_1011,sub_11,1374.09,issuer_timeout,,1,2026-06-22 12:17:59
pay_00013,cust_1011,sub_11,1374.09,issuer_timeout,,2,2026-06-25 22:35:14
pay_00145,cust_1110,sub_110,4155.35,issuer_timeout,,1,2026-07-15 14:07:29
pay_00146,cust_1110,sub_110,4155.35,issuer_timeout,,2,2026-07-18 09:44:25
pay_00147,cust_1111,sub_111,2569.22,card_expired,,1,2026-08-10 19:02:56
